date,maxtp,mintp,rain,people_vaccinated,total_boosters,congestion,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,Retail and Recreation,Grocery and Pharmacy,Parks,Transit Stations,Workplaces,Residential,Daily_Confirmed,Wate Qty
16-Sep-20,20.4,12.8,0,0,0,41,2,3,2,3,1,1,2,2,-29,-8,54,-47,-46,14,120,153.92
17-Sep-20,19.5,11.8,0,0,0,42,2,3,2,3,1,1,2,2,-29,-8,47,-48,-46,14,111,71.88
18-Sep-20,15.7,9.1,0,0,0,43,2,3,2,3,1,1,1,2,-30,-8,25,-47,-44,13,159,115.36
19-Sep-20,14.5,12.1,0,0,0,22,2,3,2,3,1,1,1,2,-47,-7,14,-48,-17,9,238,111.68
20-Sep-20,15.7,7.3,0,0,0,19,2,3,2,3,1,1,1,2,-46,-10,23,-47,-15,8,74,21.96
21-Sep-20,20.5,6.4,0.1,0,0,35,1,2,2,3,1,1,1,2,-36,-8,70,-49,-49,15,169,126.64
22-Sep-20,18.2,10.9,3.3,0,0,35,1,2,2,3,1,1,1,2,-39,-6,36,-52,-48,17,97,95.74
23-Sep-20,14.9,4.3,0.1,0,0,37,1,2,2,3,1,1,1,2,-39,-5,33,-53,-47,17,164,148.24
24-Sep-20,11.9,5.2,10.2,0,0,37,1,2,2,3,1,1,1,2,-42,-8,-18,-56,-48,19,150,105.2
25-Sep-20,14.2,3.6,0.2,0,0,40,1,2,2,3,1,1,1,2,-40,-1,12,-52,-46,18,103,92.52
26-Sep-20,14.4,1.4,0,0,0,31,1,2,2,3,1,1,1,2,-40,1,49,-43,-16,8,212,113.72
27-Sep-20,15.7,1.2,0,0,0,25,1,2,2,3,1,1,1,2,-41,-6,47,-44,-14,8,201,21.76
28-Sep-20,18.2,6.9,1.8,0,0,37,1,2,2,3,1,1,1,2,-36,-8,19,-52,-48,17,152,100.36
29-Sep-20,16,4.3,0.2,0,0,40,1,2,2,3,1,1,1,2,-35,-1,57,-50,-46,16,178,132
30-Sep-20,15,6,7.6,0,0,41,1,2,2,3,1,1,1,2,-42,-7,-16,-55,-47,19,167,119.96
1-Oct-20,12.6,3.5,8.8,0,0,39,1,2,2,3,1,1,1,2,-38,-2,10,-54,-45,18,189,59.46
2-Oct-20,13.9,6.1,4.8,0,0,42,1,2,2,3,1,1,1,2,-40,2,27,-50,-43,17,219,34.16
3-Oct-20,12.7,5.2,0.3,0,0,27,1,2,2,3,1,1,1,2,-43,1,10,-46,-17,9,101,48.52
4-Oct-20,12.1,7.5,17,0,0,13,1,2,2,3,1,1,1,2,-56,-18,-62,-60,-23,13,130,9.14
5-Oct-20,13.4,8.3,2.3,0,0,37,1,2,2,3,1,1,1,2,-34,-4,6,-52,-46,17,109,62.38
6-Oct-20,15.2,8.1,2.5,0,0,40,1,2,2,3,1,1,1,2,-37,0,17,-52,-45,16,213,50.54
7-Oct-20,14.1,7.5,10.9,0,0,42,1,2,2,3,1,1,1,2,-40,-4,10,-54,-45,18,89,51.88
8-Oct-20,14.3,7,3.2,0,0,41,1,2,2,3,1,1,1,2,-40,-2,11,-55,-45,18,122,73.48
9-Oct-20,12.5,5.2,0.9,0,0,41,1,2,2,3,1,1,1,2,-41,1,9,-53,-43,18,239,38.52
10-Oct-20,14.3,5.4,0.4,0,0,31,1,2,2,3,1,1,1,2,-41,3,37,-47,-16,9,217,55.1
11-Oct-20,13.4,5.7,0.1,0,0,24,1,2,2,3,1,1,1,2,-43,-5,40,-49,-16,9,248,11.32
12-Oct-20,14.1,6.5,1.5,0,0,36,1,2,2,3,1,1,1,2,-38,-7,12,-54,-46,17,188,34.3
13-Oct-20,12.6,6.5,0.2,0,0,37,1,2,2,3,1,1,1,2,-38,-3,18,-54,-45,17,235,95.06
14-Oct-20,14.9,7.9,0.7,0,0,41,1,2,2,3,1,1,1,2,-40,-3,22,-54,-45,18,281,58.7
15-Oct-20,13.3,5.9,3.1,0,0,41,1,2,2,3,1,1,1,2,-40,-2,0,-55,-44,19,251,58.16
16-Oct-20,12.4,6.4,0.2,0,0,42,1,2,2,3,1,1,1,2,-39,2,14,-54,-43,19,275,40
17-Oct-20,12.7,6.2,0,0,0,30,1,2,2,3,1,1,1,2,-41,2,24,-49,-17,11,396,54.74
18-Oct-20,13.7,2.6,0,0,0,25,1,2,2,3,1,1,1,2,-40,-3,44,-48,-17,10,229,7.78
19-Oct-20,13.2,11.2,2.4,0,0,40,1,2,2,3,1,1,1,2,-32,-6,-21,-55,-46,18,198,58.58
20-Oct-20,15.8,11.2,0.8,0,0,45,1,2,2,3,1,1,1,2,-25,5,3,-51,-44,17,257,68.16
21-Oct-20,14,7.5,0,0,0,50,2,3,2,4,1,2,2,2,-23,5,19,-49,-43,16,236,79.86
22-Oct-20,11.8,6.3,0,0,0,30,2,3,2,4,1,2,2,2,-57,-5,7,-62,-50,23,181,63.32
